N.POP;DL.R;DIA.ST;N.REB;N.ZUB;DL.OSN.Z;DL.TR.V;DL.BAZ;DL.PER
55;322;2.3;7;7;1.2;8;2;3.5
55;405;1.7;9;9;3;7.5;2;4.5
55;441;2;7;7;0.5;6.5;2;4
55;474;2.7;9;9;2.2;8;2;4
55;400;2.4;6;6;2;7;1.5;4.5
55;305;1.7;6;6;1.2;7;2;4.5
55;338;1.9;6;6;1.8;5.5;1.5;3
55;373;2;6;6;2;6;1.5;3
55;196;2.8;7;7;2.5;6;2;4
55;315;2;7;7;1;7;2;4
55;255;2.6;7;7;4;9;2;4.5
55;277;2;7;7;2.5;7;1.5;3.5
55;352;2.2;7;7;1;7.5;1.5;2.7
55;297;2.6;7;7;1.5;8;2;4
56;580;3.9;14;14;2;6;0;0
56;590;3;14;14;1.7;4;0;0
56;539;3.5;14;14;2;5;0;0
56;622;4;16;16;2;5;0;0
56;572;3.2;14;14;2;5;0;0
56;442;2.8;12;12;1.9;4;0;0
56;633;3.2;12;12;1.8;4;0;0
56;532;3.2;16;16;2;4;2;5
56;683;3.2;13;13;2;5;0;0
56;595;3.5;15;15;2;5.5;0;0
56;495;3.8;15;15;2.3;4;0;0
56;374;3;13;13;1.9;4;0;0
56;655;2.8;13;13;2;4.5;0;0
56;516;2.9;11;11;1.9;4.3;0;0
56;371;3.2;16;16;2;4;0;0
57;555;3.3;13;12;1;5;0;0
57;585;3;13;12;1;5;1.2;4
57;510;2.9;10;10;1;5;2;3
57;381;3.7;13;13;0.5;5;0;0
57;410;2.9;12;12;2.8;4.5;0;0
57;349;3.6;14;13;2.1;5;0;0
57;406;3.7;13;12;2.1;6;0;0
57;491;3.5;13;13;0.5;5;0;0
57;430;3;10;10;0.8;4.8;0;0
57;551;4;14;14;0.5;5.2;0;0
57;393;3.4;12;12;0.8;4;0;0
57;377;2.9;12;12;0.9;4;0;0
57;215;4.5;15;15;3.2;6;0;0
57;385;3.8;13;13;1;5.5;0;0
57;365;3.6;9;9;0.5;4;0;0
59;570;1.2;12;9;1;3;1;6
59;553;2;13;14;0.5;3;2;3
59;572;2;11;12;1;2;2;5
59;581;2;13;10;1;3;2;6
59;598;2;16;9;1;3;2;6
59;589;2;9;11;1;3;2;7
59;517;2;8;12;1;3;2;6
59;528;2;11;13;0.75;2;2;8
59;511;2;10;10;1;3;2;4
59;518;1.5;11;10;1;3;2;5
59;398;2;12;9;1;4;1;3
59;466;1.5;12;13;1;3;1.5;6
59;341;1.5;11;11;1;2;2;7
59;342;1;8;8;0.5;3;1.5;4
59;557;1.5;11;12;0.5;2.5;1;4
59;421;1.75;9;9;0.5;2;1;6
59;339;1.5;12;9;0.5;3;2;2
59;483;1.5;13;13;0.5;2.5;1;8
59;374;2;9;9;0.5;4;1;4
59;506;2;12;14;1;3;1;6
60;622;2;11;10;2;4;1;6
60;478;2;12;11;1.5;4;2;13
60;555;2;10;10;1.5;4.5;2;10
60;445;2;10;10;1;3;1;9
60;525;2;11;11;1.5;4;1.5;10
60;570;2;10;12;2;4;1.7;9
60;463;2.5;11;10;1.4;4;2;9
60;612;2;12;10;1.8;3;2;10
60;584;2.5;11;11;2;4;1.5;8
60;593;2;11;10;2;4;2;9
60;481;2.5;10;10;1.7;3.5;2;10
60;630;2;11;11;2;4;1.5;11
60;538;1.8;9;9;1.5;3;2;10
60;587;2;9;9;1.5;3;2;11
60;610;1.8;11;11;1.4;4;1.7;9
60;587;2;10;10;2;4;2;10
60;493;2;10;10;2;3;2;10
60;510;1.7;11;11;2;3;2;10
60;543;2.5;11;11;1.5;4;1.7;10
60;560;2;9;11;1.4;3;2;9
61;383;1;8;8;0.8;1.5;1.5;9
61;304;1.5;8;8;0.8;2;1;6
61;332;2;9;8;0.8;2;1.5;9
61;420;1.5;10;10;0.2;1.5;1;8.5
61;443;1;8;8;0.7;2;1;8
61;396;1.5;9;9;0.9;1.5;1.5;9
61;334;1;7;9;0.7;2;1;8.5
61;330;1.5;9;9;0.8;1.5;1;8
61;299;1.5;9;9;0.6;2.5;1.5;8
61;413;1.9;10;10;0.9;2;1;9
61;344;1.5;8;8;0.7;2.5;1;8.5
61;358;1.5;9;9;0.5;2;1;8.5
61;412;1.7;8;8;0.6;2.5;1;8.5
61;341;1.6;7;7;0.5;1.5;1;8
61;426;1;9;9;0.8;2;1;9
61;431;1;10;10;0.7;2;1.5;8
61;396;1.5;10;10;0.8;1.5;1.5;9
61;387;1.6;9;9;0.8;2;1;8.5
61;314;1;9;9;0.5;1.5;1;9
61;328;1.5;8;8;0.7;1.5;1;9
63;641;1.8;9;9;1;1.5;1;9
63;532;1.5;9;8;0.8;1.5;1;8
63;487;1.7;8;8;0.7;1.5;1;10
63;613;2;10;11;0.8;2;1;11
63;548;1.5;11;11;1;2.5;1.5;9
63;601;1.8;9;9;1;2;2;9
63;454;2;9;8;0.7;3;1.5;12
63;531;1.5;8;8;0.8;1.5;1.5;10
63;612;1.8;9;9;0.5;2;1;9
63;647;1.5;11;10;0.6;2;2;12
63;671;1.5;9;9;0.6;2;1;10
63;597;1.2;9;8;0.7;1.5;2;10
63;442;2;8;9;0.8;2;1.5;9
63;543;2;10;11;0.8;2;1.5;11
63;619;1.8;10;10;0.7;1.5;2;10
63;625;2;10;9;0.8;2;2;11
63;615;1.7;9;9;0.8;2;1.5;10
63;547;1.8;10;9;0.7;1.5;1.5;10
63;612;1.2;10;10;0.7;1.5;1;10
63;590;2;10;10;0.8;2;2;11
64;458;1.3;8;8;1.5;3;1.5;8
64;350;1.5;9;8;1.3;3.5;1.4;8
64;370;1.5;9;9;1.5;2.5;1.5;9
64;450;2;8;7;1.5;2;1.5;8
64;340;2.1;10;10;1.7;2;1.5;8
64;395;1.7;11;10;1.4;3;1.8;9
64;450;1.5;9;9;1.5;3.5;1.5;8
64;267;1.8;10;11;1.5;2;1.5;9
64;422;1.5;10;9;1.5;2;1.4;8
64;512;1.8;9;8;1.4;2;1.5;9
64;481;1.7;8;9;1.4;1.8;1.6;9
64;396;1.5;9;9;1.5;3;1.5;9
64;347;2;10;9;1.5;3.6;1.7;8
64;415;2;9;9;1.4;3.6;1.5;8
64;445;1.8;9;8;1.5;3;1.4;9
64;469;1.7;10;9;1.4;2.5;1.4;8
64;315;1.6;11;10;1.5;2.5;1.4;8
64;297;1.8;10;11;1.5;2.5;1.5;9
64;314;1.8;10;11;1.4;3;1.5;9
64;295;1.9;10;11;1.6;3;1.4;8
